ID,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
가평,6,0.0,0.0,0.0,0.0
강릉,7,3.0,0.0,2.0,0.3333333333333333
강진,1,0.0,0.0,0.0,0.0
거제,8,4.0,0.0,2.0,0.4
거창,1,0.0,0.0,1.0,0.0
경산,6,7.0,0.0,3.0,0.7777777777777778
경주,20,8.0,1.0,2.0,0.4090909090909091
고령,1,1.0,0.0,0.0,1.0
고성(강원),1,2.0,0.0,0.0,2.0
고성(경남),1,0.0,0.0,2.0,0.0
고양 덕양,19,16.0,1.0,5.0,0.7083333333333334
고양 일산동,16,15.0,4.0,2.0,1.0555555555555556
고양 일산서,11,12.0,5.0,2.0,1.3076923076923077
고창,1,0.0,0.0,0.0,0.0
고흥,2,0.0,0.0,0.0,0.0
곡성,1,0.0,0.0,0.0,0.0
공주,4,2.0,0.0,1.0,0.4
과천,2,4.0,0.0,0.0,2.0
광명,8,8.0,0.0,2.0,0.8
광양,7,2.0,0.0,1.0,0.25
광주,12,4.0,0.0,2.0,0.2857142857142857
광주 광산,12,15.0,0.0,2.0,1.0714285714285714
광주 남구,6,8.0,1.0,0.0,1.5
광주 동구,4,7.0,0.0,4.0,0.875
광주 북구,9,11.0,1.0,2.0,1.0909090909090908
광주 서구,8,13.0,1.0,3.0,1.2727272727272727
괴산,1,0.0,0.0,0.0,0.0
구리,12,3.0,1.0,3.0,0.26666666666666666
구미,8,7.0,1.0,3.0,0.7272727272727273
군산,10,2.0,1.0,0.0,0.3
군포,10,4.0,2.0,8.0,0.3333333333333333
김제,3,0.0,0.0,0.0,0.0
김천,3,1.0,0.0,0.0,0.3333333333333333
김포,16,11.0,1.0,7.0,0.5217391304347826
김해,26,9.0,0.0,3.0,0.3103448275862069
나주,3,1.0,0.0,0.0,0.3333333333333333
남양주,35,6.0,0.0,3.0,0.15789473684210525
남원,1,0.0,0.0,0.0,0.0
남해,1,0.0,0.0,0.0,0.0
논산,2,1.0,0.0,1.0,0.3333333333333333
단양,1,0.0,0.0,0.0,0.0
담양,1,0.0,0.0,0.0,0.0
당진,6,3.0,0.0,3.0,0.3333333333333333
대구 남구,5,3.0,0.0,0.0,0.6
대구 달서,6,19.0,0.0,6.0,1.5833333333333333
대구 달성,3,4.0,0.0,2.0,0.8
대구 동구,4,7.0,1.0,2.0,1.3333333333333333
대구 북구,8,6.0,0.0,5.0,0.46153846153846156
대구 수성,4,21.0,2.0,1.0,4.6
대구 중구,5,14.0,4.0,4.0,2.0
대전 대덕,1,6.0,0.0,2.0,2.0
대전 동구,3,5.0,2.0,4.0,1.0
대전 서구,6,25.0,2.0,10.0,1.6875
대전 유성,11,10.0,1.0,6.0,0.6470588235294118
대전 중구,1,5.0,0.0,7.0,0.625
동두천,2,3.0,0.0,0.0,1.5
동해,1,1.0,1.0,1.0,1.0
목포,10,4.0,0.0,3.0,0.3076923076923077
무안,2,1.0,0.0,1.0,0.3333333333333333
무주,1,0.0,0.0,0.0,0.0
문경,3,1.0,0.0,0.0,0.3333333333333333
밀양,3,1.0,0.0,0.0,0.3333333333333333
보령,2,1.0,0.0,1.0,0.3333333333333333
보은,2,0.0,0.0,0.0,0.0
봉화,1,0.0,0.0,0.0,0.0
부산 강서,7,1.0,0.0,0.0,0.14285714285714285
부산 금정,10,8.0,0.0,3.0,0.6153846153846154
부산 기장,4,5.0,1.0,1.0,1.2
부산 남구,12,5.0,0.0,1.0,0.38461538461538464
부산 동구,6,4.0,1.0,0.0,0.8333333333333334
부산 동래,13,6.0,0.0,2.0,0.4
부산 부산진,21,19.0,3.0,3.0,0.9166666666666666
부산 북구,14,2.0,0.0,3.0,0.11764705882352941
부산 사상,6,2.0,0.0,0.0,0.3333333333333333
부산 사하,15,7.0,0.0,1.0,0.4375
부산 서구,7,2.0,0.0,0.0,0.2857142857142857
부산 수영,7,7.0,1.0,1.0,1.0
부산 연제,10,5.0,0.0,1.0,0.45454545454545453
부산 영도,3,0.0,0.0,0.0,0.0
부산 중구,10,7.0,2.0,3.0,0.6923076923076923
부산 해운대,14,22.0,4.0,4.0,1.4444444444444444
부안,3,1.0,0.0,0.0,0.3333333333333333
부여,1,0.0,0.0,0.0,0.0
부천,46,14.0,6.0,14.0,0.3333333333333333
사천,3,1.0,0.0,0.0,0.3333333333333333
산청,1,1.0,0.0,0.0,1.0
삼척,1,1.0,0.0,2.0,0.3333333333333333
상주,2,0.0,1.0,0.0,0.5
서귀포,6,13.0,0.0,6.0,1.0833333333333333
서산,5,4.0,1.0,1.0,0.8333333333333334
서울 강남,42,84.0,70.0,16.0,2.6551724137931036
서울 강동,12,13.0,8.0,5.0,1.2352941176470589
서울 강북,11,5.0,2.0,1.0,0.5833333333333334
서울 강서,39,17.0,5.0,8.0,0.46808510638297873
서울 관악,23,9.0,3.0,5.0,0.42857142857142855
서울 광진,16,14.0,6.0,5.0,0.9523809523809523
서울 구로,20,11.0,2.0,5.0,0.52
서울 금천,11,13.0,2.0,1.0,1.25
서울 노원,33,9.0,2.0,5.0,0.2894736842105263
서울 도봉,8,1.0,0.0,0.0,0.125
서울 동대문,19,8.0,4.0,5.0,0.5
서울 동작,11,8.0,1.0,3.0,0.6428571428571429
서울 마포,21,30.0,12.0,6.0,1.5555555555555556
서울 서대문,13,19.0,8.0,4.0,1.588235294117647
서울 서초,17,47.0,29.0,9.0,2.923076923076923
서울 성동,17,6.0,1.0,4.0,0.3333333333333333
서울 성북,22,13.0,4.0,6.0,0.6071428571428571
서울 송파,27,28.0,12.0,11.0,1.0526315789473684
서울 양천,17,10.0,4.0,4.0,0.6666666666666666
서울 영등포,27,30.0,15.0,6.0,1.3636363636363635
서울 용산,11,20.0,5.0,4.0,1.6666666666666667
서울 은평,21,10.0,2.0,6.0,0.4444444444444444
서울 종로,16,33.0,15.0,7.0,2.0869565217391304
서울 중구,24,55.0,14.0,7.0,2.225806451612903
서울 중랑,11,6.0,2.0,2.0,0.6153846153846154
서천,2,1.0,0.0,0.0,0.5
성남 분당,23,45.0,17.0,12.0,1.7714285714285714
성남 수정,7,2.0,1.0,3.0,0.3
성남 중원,6,1.0,1.0,3.0,0.2222222222222222
성주,1,0.0,0.0,0.0,0.0
세종,11,7.0,1.0,3.0,0.5714285714285714
속초,7,4.0,0.0,0.0,0.5714285714285714
수원 권선,13,4.0,1.0,2.0,0.3333333333333333
수원 영통,19,12.0,4.0,5.0,0.6666666666666666
수원 장안,9,3.0,2.0,3.0,0.4166666666666667
수원 팔달,12,12.0,4.0,4.0,1.0
순창,1,1.0,0.0,0.0,1.0
순천,12,4.0,0.0,2.0,0.2857142857142857
시흥,23,4.0,0.0,7.0,0.13333333333333333
아산,7,8.0,0.0,4.0,0.7272727272727273
안동,10,3.0,0.0,2.0,0.25
안산 단원,17,6.0,0.0,6.0,0.2608695652173913
안산 상록,7,2.0,0.0,1.0,0.25
안성,1,4.0,0.0,1.0,2.0
안양 동안,12,12.0,2.0,9.0,0.6666666666666666
안양 만안,10,3.0,2.0,4.0,0.35714285714285715
양구,1,0.0,0.0,0.0,0.0
양산,16,4.0,0.0,1.0,0.23529411764705882
양양,2,0.0,0.0,0.0,0.0
양주,14,3.0,0.0,0.0,0.21428571428571427
양평,4,2.0,0.0,1.0,0.4
여수,14,6.0,1.0,3.0,0.4117647058823529
여주,4,2.0,0.0,0.0,0.5
연천,1,0.0,1.0,0.0,1.0
영광,3,0.0,0.0,0.0,0.0
영덕,2,1.0,0.0,0.0,0.5
영동,1,0.0,0.0,0.0,0.0
영암,1,0.0,0.0,0.0,0.0
영주,4,0.0,0.0,0.0,0.0
영천,1,0.0,0.0,0.0,0.0
예산,5,1.0,0.0,0.0,0.2
오산,6,4.0,0.0,3.0,0.4444444444444444
완도,1,0.0,0.0,0.0,0.0
완주,6,0.0,0.0,0.0,0.0
용인 기흥,23,8.0,2.0,9.0,0.3125
용인 수지,17,9.0,2.0,4.0,0.5238095238095238
용인 처인,2,4.0,0.0,2.0,1.0
울산 남구,25,17.0,2.0,5.0,0.6333333333333333
울산 동구,7,3.0,0.0,2.0,0.3333333333333333
울산 북구,12,4.0,0.0,1.0,0.3076923076923077
울산 울주,8,1.0,0.0,1.0,0.1111111111111111
울산 중구,14,7.0,2.0,2.0,0.5625
울진,1,0.0,1.0,1.0,0.5
원주,13,10.0,1.0,5.0,0.6111111111111112
음성,4,1.0,1.0,0.0,0.5
의왕,6,0.0,0.0,2.0,0.0
의정부,21,9.0,0.0,4.0,0.36
이천,7,7.0,3.0,1.0,1.25
익산,8,4.0,0.0,2.0,0.4
인제,3,1.0,0.0,0.0,0.3333333333333333
인천 강화,1,0.0,0.0,1.0,0.0
인천 계양,12,2.0,0.0,3.0,0.13333333333333333
인천 남구,14,10.0,1.0,5.0,0.5789473684210527
인천 남동,35,13.0,1.0,18.0,0.2641509433962264
인천 동구,2,2.0,0.0,0.0,1.0
인천 부평,28,13.0,2.0,2.0,0.5
인천 서구,27,7.0,0.0,4.0,0.22580645161290322
인천 연수,14,12.0,6.0,8.0,0.8181818181818182
인천 옹진,2,0.0,0.0,0.0,0.0
인천 중구,11,3.0,2.0,4.0,0.3333333333333333
임실,1,1.0,0.0,0.0,1.0
장성,1,0.0,0.0,0.0,0.0
전주 덕진,19,4.0,0.0,1.0,0.2
전주 완산,26,10.0,2.0,5.0,0.3870967741935484
정선,1,0.0,0.0,0.0,0.0
정읍,2,0.0,0.0,1.0,0.0
제주,5,9.0,0.0,5.0,0.9
제천,2,1.0,2.0,0.0,1.5
증평,2,0.0,0.0,0.0,0.0
진도,1,0.0,0.0,0.0,0.0
진주,16,7.0,1.0,4.0,0.4
진천,3,0.0,0.0,0.0,0.0
창녕,2,2.0,0.0,0.0,1.0
창원 마산합포,4,3.0,0.0,1.0,0.6
창원 마산회원,2,4.0,0.0,1.0,1.3333333333333333
창원 성산,13,6.0,4.0,1.0,0.7142857142857143
창원 의창,10,4.0,1.0,2.0,0.4166666666666667
창원 진해,5,2.0,2.0,0.0,0.8
천안 동남,8,7.0,1.0,3.0,0.7272727272727273
천안 서북,7,7.0,0.0,5.0,0.5833333333333334
철원,2,0.0,0.0,0.0,0.0
청도,2,1.0,0.0,0.0,0.5
청송,1,0.0,0.0,0.0,0.0
청주 상당,6,6.0,1.0,2.0,0.875
청주 서원,5,3.0,0.0,3.0,0.375
청주 청원,8,3.0,0.0,1.0,0.3333333333333333
청주 흥덕,12,8.0,1.0,2.0,0.6428571428571429
춘천,23,8.0,1.0,4.0,0.3333333333333333
충주,4,5.0,0.0,1.0,1.0
칠곡,4,1.0,0.0,0.0,0.25
태안,2,0.0,0.0,0.0,0.0
통영,3,2.0,1.0,3.0,0.5
파주,20,4.0,1.0,6.0,0.19230769230769232
평창,1,2.0,0.0,0.0,2.0
평택,10,7.0,1.0,4.0,0.5714285714285714
포천,10,5.0,0.0,1.0,0.45454545454545453
포항 남구,4,8.0,0.0,0.0,2.0
포항 북구,9,5.0,1.0,2.0,0.5454545454545454
하남,11,5.0,1.0,1.0,0.5
함안,1,0.0,2.0,0.0,2.0
함양,1,1.0,0.0,0.0,1.0
합천,1,0.0,0.0,0.0,0.0
해남,1,0.0,1.0,0.0,1.0
홍성,3,0.0,0.0,2.0,0.0
홍천,3,1.0,0.0,1.0,0.25
화성,23,12.0,5.0,12.0,0.4857142857142857
화순,1,0.0,0.0,0.0,0.0
화천,2,0.0,0.0,0.0,0.0
